"open","high","low","close","vwap","count","base_currency","base_issuer","base_volume","counter_currency","counter_issuer","counter_volume","open_time","close_time","start","buy_volume"
"0.24628658","0.27799000","0.23263243","0.23684200","0.25930764","10572","XRP","","14818417.942966","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","3842529.007544218","2017-11-27T00:12:42Z","2017-11-29T23:59:52Z","2017-11-27T00:00:00Z","6128342.706376225"
"0.23684200","0.25400000","0.22243675","0.24482399","0.23753726","7601","XRP","","8882042.653695984","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","2109816.061727391","2017-11-30T00:04:01Z","2017-12-02T23:55:51Z","2017-11-30T00:00:00Z","4034274.7596282754"
"0.24406642","0.25798052","0.23381909","0.23614622","0.24393909","4649","XRP","","7472924.889549","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","1822938.49867249","2017-12-03T00:20:02Z","2017-12-05T23:58:12Z","2017-12-03T00:00:00Z","3307238.8626008476"
"0.23471220","0.24220282","0.20189095","0.23405692","0.22359026","13903","XRP","","18381549.84582801","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","4109935.437477529","2017-12-06T00:00:11Z","2017-12-08T23:53:20Z","2017-12-06T00:00:00Z","8293493.451829383"
"0.23405692","0.24500000","0.22222222","0.24265863","0.23482372","3461","XRP","","3739872.69795801","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","878210.8140835478","2017-12-09T00:02:41Z","2017-12-11T23:57:00Z","2017-12-09T00:00:00Z","1088513.9115773132"
"0.24264232","0.89999999","0.24081057","0.84001964","0.43721738","14756","XRP","","30089095.77800597","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","13155475.47291492","2017-12-12T00:03:12Z","2017-12-14T23:57:51Z","2017-12-12T00:00:00Z","6652200.627005957"
"0.84121449","0.84999999","0.61202108","0.70960432","0.74008580","8467","XRP","","7298414.249441006","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","5401452.729644448","2017-12-15T00:00:02Z","2017-12-17T23:58:00Z","2017-12-15T00:00:00Z","2525504.928683456"
"0.70347033","0.83370999","0.54999999","0.71434207","0.72979428","11251","XRP","","8504890.566082016","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","6206820.479195952","2017-12-18T00:01:20Z","2017-12-20T23:51:20Z","2017-12-18T00:00:00Z","3252944.743321245"
"0.71434207","1.2600000","0.71229999","1.0427338","0.96525321","20086","XRP","","10966351.009785","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","10585305.48326833","2017-12-21T00:01:21Z","2017-12-23T23:59:50Z","2017-12-21T00:00:00Z","3362873.367763548"
"1.0427321","1.0840000","0.87723599","1.0648519","0.99001845","7446","XRP","","4709126.103318006","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","4662121.703751956","2017-12-24T00:00:51Z","2017-12-26T23:50:22Z","2017-12-24T00:00:00Z","868032.1369101384"
